"140428"	"3"	"长子县"
"140429"	"3"	"武乡县"
"140430"	"3"	"沁县"
"140431"	"3"	"沁源县"
"140481"	"3"	"潞城市"
"140500"	"2"	"晋城市"
"140521"	"3"	"沁水县"
"140522"	"3"	"阳城县"
"140524"	"3"	"陵川县"
"140525"	"3"	"泽州县"
"140581"	"3"	"高平市"
"140600"	"2"	"朔州市"
"140621"	"3"	"山阴县"
"140622"	"3"	"应县"
"140623"	"3"	"右玉县"
"140624"	"3"	"怀仁县"
"140700"	"2"	"晋中市"
"140721"	"3"	"榆社县"
"140722"	"3"	"左权县"
"140723"	"3"	"和顺县"
"140724"	"3"	"昔阳县"
"140725"	"3"	"寿阳县"
"140726"	"3"	"太谷县"
"140727"	"3"	"祁县"
"140728"	"3"	"平遥县"
"140729"	"3"	"灵石县"
"140781"	"3"	"介休市"
"140800"	"2"	"运城市"
"140821"	"3"	"临猗县"
"140822"	"3"	"万荣县"
"140823"	"3"	"闻喜县"
"140824"	"3"	"稷山县"
"140825"	"3"	"新绛县"
"140826"	"3"	"绛县"
"140827"	"3"	"垣曲县"
"140828"	"3"	"夏县"
"140829"	"3"	"平陆县"
"140830"	"3"	"芮城县"
"140881"	"3"	"永济市"
"140882"	"3"	"河津市"
"140900"	"2"	"忻州市"
"140921"	"3"	"定襄县"
"140922"	"3"	"五台县"
"140923"	"3"	"代县"
"140924"	"3"	"繁峙县"
"140925"	"3"	"宁武县"
"140926"	"3"	"静乐县"
"140927"	"3"	"神池县"
"140928"	"3"	"五寨县"
"140929"	"3"	"岢岚县"
"140930"	"3"	"河曲县"
"140931"	"3"	"保德县"
"140932"	"3"	"偏关县"
"140981"	"3"	"原平市"
"141000"	"2"	"临汾市"
"141021"	"3"	"曲沃县"
"141022"	"3"	"翼城县"
"141023"	"3"	"襄汾县"
"141024"	"3"	"洪洞县"
"141025"	"3"	"古县"
"141026"	"3"	"安泽县"
"141027"	"3"	"浮山县"
"141028"	"3"	"吉县"
